date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,zipcode,was_renovated,effective_year,house_age,age_effective,price_per_sqft
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,,Shoreline,98133,0,1955,59,59,233.5820895522388
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,,Seattle,98119,0,1921,93,93,653.1506849315068
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,,Kent,98042,0,1966,48,48,177.2020725388601
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,,Bellevue,98008,0,1963,51,51,210.0
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,,Redmond,98052,0,1976,38,38,283.50515463917526
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994.0,Seattle,98115,1,1994,76,20,556.8181818181819
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,,Redmond,98052,0,1976,38,38,248.14814814814815
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,,Maple Valley,98038,0,1989,25,25,177.85977859778598
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,,North Bend,98045,0,1985,29,29,186.21399176954733
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,,Seattle,98115,0,1945,69,69,421.05263157894734
2014-05-02,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,,Lake Forest Park,98155,0,1948,66,66,270.7602339181287
2014-05-02,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,,Seattle,98105,0,1909,105,105,479.45205479452056
2014-05-02,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,,Sammamish,98074,0,1980,34,34,252.57510729613733
2014-05-02,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,,Seattle,98106,0,1955,59,59,334.86238532110093
2014-05-02,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,,Seattle,98105,0,1939,75,75,412.37113402061857
2014-05-02,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,,Kent,98042,0,1965,49,49,202.08333333333334
2014-05-02,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,,Bellevue,98007,0,1956,58,58,266.8789808917197
