date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,address,date_raw,street,city,statezip,country,zipcode
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,,"18810 Densmore Ave N, Shoreline, WA 98133, USA",20140502T000000,18810 Densmore Ave N,Shoreline,WA 98133,USA,98133
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,,"709 W Blaine St, Seattle, WA 98119, USA",20140502T000000,709 W Blaine St,Seattle,WA 98119,USA,98119
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,,"26206-26214 143rd Ave SE, Kent, WA 98042, USA",20140502T000000,26206-26214 143rd Ave SE,Kent,WA 98042,USA,98042
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,,"857 170th Pl NE, Bellevue, WA 98008, USA",20140502T000000,857 170th Pl NE,Bellevue,WA 98008,USA,98008
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,,"9105 170th Ave NE, Redmond, WA 98052, USA",20140502T000000,9105 170th Ave NE,Redmond,WA 98052,USA,98052
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994.0,"522 NE 88th St, Seattle, WA 98115, USA",20140502T000000,522 NE 88th St,Seattle,WA 98115,USA,98115
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,,"2616 174th Ave NE, Redmond, WA 98052, USA",20140502T000000,2616 174th Ave NE,Redmond,WA 98052,USA,98052
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,,"23762 SE 253rd Pl, Maple Valley, WA 98038, USA",20140502T000000,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,98038
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,,"46611-46625 SE 129th St, North Bend, WA 98045, USA",20140502T000000,46611-46625 SE 129th St,North Bend,WA 98045,USA,98045
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,,"6811 55th Ave NE, Seattle, WA 98115, USA",20140502T000000,6811 55th Ave NE,Seattle,WA 98115,USA,98115
2014-05-02,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,,"Burke-Gilman Trail, Lake Forest Park, WA 98155, USA",20140502T000000,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,98155
2014-05-02,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,,"3838-4098 44th Ave NE, Seattle, WA 98105, USA",20140502T000000,3838-4098 44th Ave NE,Seattle,WA 98105,USA,98105
2014-05-02,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,,"1833 220th Pl NE, Sammamish, WA 98074, USA",20140502T000000,1833 220th Pl NE,Sammamish,WA 98074,USA,98074
2014-05-02,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,,"2504 SW Portland Ct, Seattle, WA 98106, USA",20140502T000000,2504 SW Portland Ct,Seattle,WA 98106,USA,98106
2014-05-02,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,,"3534 46th Ave NE, Seattle, WA 98105, USA",20140502T000000,3534 46th Ave NE,Seattle,WA 98105,USA,98105
2014-05-02,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,,"14034 SE 201st St, Kent, WA 98042, USA",20140502T000000,14034 SE 201st St,Kent,WA 98042,USA,98042
2014-05-02,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,,"15424 SE 9th St, Bellevue, WA 98007, USA",20140502T000000,15424 SE 9th St,Bellevue,WA 98007,USA,98007
2014-05-02,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,,"11224 SE 306th Pl, Auburn, WA 98092, USA",20140502T000000,11224 SE 306th Pl,Auburn,WA 98092,USA,98092
2014-05-02,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,,"1605 S 245th Pl, Des Moines, WA 98198, USA",20140502T000000,1605 S 245th Pl,Des Moines,WA 98198,USA,98198
2014-05-02,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,,"12425 415th Ave SE, North Bend, WA 98045, USA",20140502T000000,12425 415th Ave SE,North Bend,WA 98045,USA,98045
2014-05-02,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,,"3225 NE 92nd St, Seattle, WA 98115, USA",20140502T000000,3225 NE 92nd St,Seattle,WA 98115,USA,98115
2014-05-02,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,,"3922 154th Ave SE, Bellevue, WA 98006, USA",20140502T000000,3922 154th Ave SE,Bellevue,WA 98006,USA,98006
2014-05-02,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,,"3140 Franklin Ave E, Seattle, WA 98102, USA",20140502T000000,3140 Franklin Ave E,Seattle,WA 98102,USA,98102
