row,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,test
9,train
10,train
11,train
12,test
13,train
14,test
15,train
16,train
17,test
18,train
19,train
20,train
21,train
22,train
23,test
24,train
25,train
26,test
27,train
28,train
29,test
30,test
31,train
32,test
33,test
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,test
44,test
45,test
46,train
47,train
48,train
49,train
50,train
51,test
52,test
53,train
54,train
55,train
56,test
57,train
58,train
59,train
60,train
61,test
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,test
70,test
71,train
72,train
73,test
74,train
75,train
76,train
77,train
78,train
79,train
80,test
81,train
82,train
83,train
84,test
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,test
94,train
95,test
96,test
97,train
98,train
99,test
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,test
110,train
111,train
112,train
113,test
114,train
115,train
116,train
117,train
118,train
119,train
120,test
121,train
122,test
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,test
133,train
134,test
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,train
149,test
150,test
151,test
152,test
153,train
154,train
155,train
156,test
157,test
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,test
167,train
168,train
169,train
170,test
171,train
172,train
173,train
174,test
175,test
176,train
177,test
178,train
179,test
180,test
181,train
182,train
183,train
184,test
185,train
186,train
187,train
188,test
189,train
190,train
191,train
192,test
193,train
194,train
195,train
196,test
197,train
198,train
199,train
200,train
201,train
202,train
203,test
204,train
205,test
206,train
207,train
208,train
209,train
210,train
211,test
212,train
213,train
214,test
215,train
216,train
217,test
218,train
219,train
220,test
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,test
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,test
239,test
240,test
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,test
252,train
253,train
254,test
255,train
256,test
257,train
258,train
259,train
260,train
261,train
262,train
263,test
264,train
265,train
266,train
267,train
268,train
269,train
270,test
271,train
